ラグナ	拉古那
アルウェン	艾雯
ルゥ	露
オデッサ	奥蒂莎
スバル	昴
ミア	米娅
フィオナ	菲奥娜
執事クロード	管家克劳德
クロード	克劳德
ポックル	布库尔
ピピロ	皮皮洛
魔女ラーライラ	魔女拉莱拉
ラーライラ	拉莱拉
モンブラン	蒙布兰
エクスマキナ	爱克斯玛绮娜
ダイガルド	帝嘉鲁德
ザハール	扎哈鲁
テルミドール	特尔米多鲁
テオ	提欧
カルディナ	卡尔蒂娜
ホアン	贺安
メイ	梅
アネット	亚妮迪
イザベラ	伊萨贝拉
モーリス	莫里斯
ハティ	哈提
リプトン	利普顿
モンドレアン夫人	蒙德兰夫人
アップル	苹果
コリン	柯林
エンジェ	安洁
アンナ	安娜
ヘレナ	海蕾娜
セフィーラ	瑟菲拉
シェスター	谢斯塔
バーミリア	瓦米莉娅
ゲン	限
カラス	鸦
ガシュレー親方	嘉修雷师傅
ガシュレー	嘉修雷
ミリアム	梅丽安
ノートン	诺顿
ワイゼン村長	怀森村长
ワイゼン	怀森
ラウニ	拉乌妮
アルベール	阿鲁贝尔
マーサ	玛莎
バラン	巴兰
フェデリカ	菲缇莉卡
ビアンス	比安斯
チェスク	切斯克
テンザン老人	天山老人
テンザン	天山
サラサ	更纱
カイ	戒
ルリ	琉璃
ヤサク	矢作
ダイゴロー	大五郎
ヒコメ	日户目
アカネ	茜
忍び	忍者
カッパ	河童
クレース	克雷斯
マリン	玛琳
リッキー	莉琪
ジョー	修
ロッテ	露缇
呼び込みペンギン	宣传员企鹅
ギャランドゥ	嘉兰多
町長	镇长
くのー	女忍
ニワトリ	鸡
ヒヨコ	小鸡
チェスクのヒヨコ	切斯克的小鸡
アンデルセン	艾迪森
ノトルファス	诺迪斯
ヒヨッコ	小唧
ヒヨヒヨ	唧唧
ニワゴン	尼瓦根
ニワコ	尼瓦珂
ニワート	尼瓦多
ノートンのハト	诺顿的鸽子
ぽっぽ	啵啵
クラーク	库拉克
ミ－	小咪
ハッチー	哈其
ショコラ	修克拉
ハト	鸽子
けさらん	早上的鸡蛋
ネズミ	老鼠
さちこ	智子
よしえ	芳惠
ねこ	猫
いぬ	狗
ひよこ	小鸡
カラクリ	卡拉库里
こぼると	科波鲁特
戒ト	凯特
エスピナ	埃斯比纳
マイルズ	梅尔兹
巫女姫	巫女公主
ティアラ 	蒂阿拉
アプリエス	阿普利埃斯
プシュケ	普休凯
パラディス	帕拉迪斯
．エル．ヴァレンス	·艾尔·瓦伦斯
アビスフラワー	艾比斯
エフェメルガ	艾菲梅尔加
アークシェロブ	阿库瑟罗布
ガルガリオン	嘉鲁卡利昂
ファブニール	法布尼尔
真ザハール	真扎哈鲁
魔王ルシアン	魔王路西昂
フィギュア	手办
レベルプレート	等级之证 
フードの娘	戴帽子的女孩
フード姿の娘	戴帽子的女孩
くの一	女忍
ギスカール	吉斯卡鲁
日戸目	日户目
ミーちゃん	小咪
