アルッテの町	阿鲁迪亚镇
アルッテ	阿鲁迪亚
セクンドゥム廃坑	塞肯多姆废坑
セクンドゥム	塞肯多姆
オルディウム神殿	奥鲁荻姆神殿
オルディウム	奥鲁荻姆
金闇の森	金暗之森
ロアルタ村	罗亚鲁塔村
ロアルタ	罗亚鲁塔
星降りの里	星降之里
クリスタルバレー	水晶峡谷
アルッテ飛行場	阿鲁迪亚飞机场
飛行場	飞机场
浮遊大陸イルバード	浮游大陆伊尔巴特
浮遊大陸	浮游大陆
イルバード	伊尔巴特
アウロン大鉄塔	奥伦大铁塔
アウロン	奥伦
大鉄塔	大铁塔
ムーンブリア城	蒙布利亚城
ムーンブリア	蒙布利亚
星ヶ峰	星之峰
ルナ＝ムンドゥス	月·异世界
メルセデク	梅尔塞迪克
海魔の庭	海魔庭院
Ｇ－コロッセオ	Ｇ－斗技场
コロッセオ	斗技场
魔女の家	魔女之家
ブランデーヶ丘	布兰迪山丘
ブランデーヶ	布兰迪
ギルドへ	猎人公会
ペンネ	芬尼
アルジェス	阿尔杰斯
セルペンティナ	塞尔芬迪纳
グランヴァレン	库朗毕林
トリスタン	特里斯坦
ケーニッヒ	康尼锡商
ヴァレンス家	瓦伦斯家
アルバトロス社	艾路毕查斯社
エアロテック	飞机
ロックフェラー	洛克菲勒
ロード．ヴァレンス号	罗德·瓦伦斯号
ベイオウルフ号	碧奥鲁夫号
．コア	·核心
地蟲	地虫
竜	龙
闇の	暗之
金色の	金色
金色的魔王	金色魔王
戦	战
魔剣使い	魔剑使者
月の戦鬼	月之战鬼
聖討大将軍	圣讨大将军
餓狼狩り	饿狼狩猎者
見習い忍者	忍者实习生
純	纯
戦闘執事	战斗管家
覆面超人	蒙面超人
絶対究極無敵	绝对究极无敌
阿鲁提	阿鲁迪
．裏	·里
館	馆
の間	之间
ブティック	布迪克
．懺悔部屋	·忏悔室
長	长
ペットショップ	宠物店
風	风
よろず屋	杂货店
脱衣所	更衣室
風呂	温泉
スキー場	滑雪场
廃坑．	废坑·
始まりの坑道	起始匝道
継	继
場	场
．終点	·终点
クモの巣	蜘蛛巢
ゴーレム工房	格雷姆工房
夢幻	梦幻
迷宮	迷宫
．入口	·入口
の聖域	之圣域
祭壇への道	祭坛之道
の祭壇	之祭坛
園	园
の	之
．最奥	·最深处
区画	区域
軌道	轨道
連絡駅	连接站
礼拝堂	礼拜堂
．祭壇	·祭坛
吹雪ヶ原	暴雪平原
剣の参道	剑术山道
施設	设施
廃棄	废弃
異	异
駒	驹
機	机
剣	剑
巻	卷
町·	村·
．	·
鉄	铁
聖	圣
闘技场	斗技场
ミュージアム	斗技场
舘	馆
ミュジアム	斗技场
宿酒场	熊猫楼
